,"Tribe",,,,"Species","Tooth type","Max/mand","Index","Amplitudes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Extant","Alcelaphini",,,,2,"LM2","mand",2870,281.210785,138.970398,22.898609,15.92149,31.96994,67.314079,3.38129,12.77261,4.63809,17.016399,2.24351,4.65993,5.08635,10.08083,4.46375,1.1833,1.91567,2.31671,0.98661,4.98897,1.7013,2.79735,0.64465,1.46205,1.83332,2.18869,1.3175,1.10742,1.26634,0.50238,1.26825,2.16668,0.85043,0.65991,0.43497,0.4899,0.38044,1.17469,0.19608,0.71161,0.31263,0.62821,0.47099,0.86438,0.22888,0.53234,0.12289,0.57118,0.28238,0.34165,0.19451,0.65089,0.10824,0.66271,0.31858,0.38531,0.14993,0.29148,0.18329,0.30746
"Extant","Alcelaphini",,,,2,"LM2","mand",2878,289.19339,123.113197,34.884682,7.88028,28.377741,60.29052,2.86325,22.55003,6.69802,7.30574,3.0258,9.05364,1.20245,12.69496,3.70976,5.98843,1.5378,3.76052,0.92169,5.54647,0.24807,2.05037,0.32113,2.00964,0.91914,2.75487,1.29637,1.51775,0.3633,1.30628,1.10367,1.31809,0.65559,0.56403,0.5594,0.5476,0.63099,0.99631,0.60574,0.51746,0.26201,0.26384,0.38999,0.69138,0.26009,0.44368,0.37928,0.44813,0.32166,0.18109,0.36439,0.54063,0.39925,0.13664,0.27181,0.32927,0.23488,0.40735,0.43662,0.04214
"Extant","Alcelaphini",,,,2,"LM2","mand",2884,248.798706,153.269608,12.90796,14.96472,7.03739,55.12117,5.04971,7.1886,11.92864,13.93681,1.05374,5.24401,5.8884,5.00644,1.3678,2.0637,1.13989,3.76604,2.77732,1.72443,1.93866,1.28937,1.25277,2.90351,1.35149,1.58634,0.76612,1.29383,0.53101,1.37205,1.01188,0.28943,0.56226,0.64477,0.46374,1.8623,0.39197,1.1692,0.54185,0.61136,0.23454,0.46357,0.43106,0.64436,0.2016,0.43941,0.3037,0.63603,0.30403,0.81195,0.34439,0.72043,0.19838,0.18749,0.06705,0.23905,0.12564,0.30006,0.06019,0.25758
"Extant","Alcelaphini",,,,2,"LM2","mand",2888,259.846893,147.286408,41.424702,32.611919,32.758461,76.765221,8.430121,6.2501,7.86603,18.76955,0.81499,4.34152,5.50347,8.97047,2.90647,3.27697,3.33927,4.23781,1.68318,3.00955,2.97607,2.45835,2.46378,1.63979,1.98106,2.43127,0.86302,2.67571,1.515,0.67439,0.99224,1.05693,1.15308,1.01829,0.73238,0.63688,0.63635,0.8255,0.46555,1.55299,0.40531,0.10629,0.13886,0.32799,0.04789,0.87118,0.57663,0.10441,0.14285,0.40121,0.22811,1.12714,0.30658,0.06059,0.37772,0.06289,0.13707,0.51556,0.30034,0.27242
"Extant","Alcelaphini",,,,2,"LM2","mand",2891,299.858887,123.757698,22.09985,5.29672,27.311859,56.930691,4.09713,26.476721,6.40288,8.55632,2.50904,10.25729,0.93823,15.07551,2.46088,4.49195,2.6905,1.25915,0.67859,7.29969,1.31207,2.79867,0.99094,2.45398,1.93165,2.71998,1.38229,1.18505,1.28135,1.18761,1.43269,2.23492,0.45006,1.19261,1.65068,0.62771,0.60053,0.89362,0.79474,0.21927,0.54397,0.71542,0.14851,0.62294,0.43214,0.81824,0.34584,0.21095,0.22554,0.22326,0.17236,0.54208,0.34636,0.22723,0.16773,0.15859,0.18008,0.47693,0.18237,0.24394
"Extant","Alcelaphini",,,,2,"LM2","mand",2895,295.527496,114.508003,17.93607,6.75849,28.19701,52.25597,1.74873,24.84066,5.23178,12.06702,2.54513,5.07134,1.88633,13.17643,3.34146,2.75605,0.51634,3.69504,2.15163,6.99711,1.61825,1.61663,0.86301,1.66125,1.37127,2.82315,0.97771,1.48214,1.85974,1.58654,0.75651,0.92784,1.05527,2.29779,0.89357,1.35997,1.21447,0.64136,0.39034,1.1162,0.75827,0.86685,0.53478,1.12297,0.49846,1.37789,0.12479,0.49594,0.36493,0.32486,0.1785,0.46725,0.25798,0.58762,0.4496,0.54522,0.18207,0.55764,0.22523,0.38482
"Extant","Alcelaphini",,,,2,"LM2","mand",2898,239.189407,140.433701,33.061588,29.33967,32.836571,71.824791,10.14551,3.56853,10.26575,18.479509,4.60951,4.02993,6.9191,9.63059,5.15593,2.23219,2.06376,2.4931,1.21838,2.17971,4.56809,0.97843,0.85606,1.27771,2.01221,2.77854,1.67835,1.83755,1.27927,0.10559,1.03179,1.84593,1.33188,0.81474,0.41428,0.92878,0.76088,1.2467,0.36577,1.51003,0.73171,0.34739,0.41349,0.66399,0.42812,0.66668,0.55963,0.64972,0.22358,0.57091,0.17719,0.76027,0.08607,0.43304,0.36821,0.35229,0.34068,0.31962,0.45189,0.49619
"Extant","Alcelaphini",,,,2,"LM2","mand",2903,296.164093,122.788101,38.641781,9.86128,26.740971,67.294022,2.13703,23.202339,4.31917,5.95542,2.7712,9.10534,2.35441,10.87319,3.45308,6.82465,1.86507,5.31139,0.65487,4.1015,1.01064,2.70317,1.80028,3.08735,1.23241,2.07408,2.12418,1.99449,0.61822,1.94414,0.79009,0.90055,1.3703,1.25187,0.28081,0.57348,0.75161,0.94159,0.81715,0.84173,0.08096,0.46679,0.2569,0.47716,0.53745,0.34692,0.24142,0.26548,0.31967,0.4197,0.33199,0.58045,0.21063,0.16498,0.19496,0.42667,0.26192,0.16252,0.20731,0.10475
"Extant","Alcelaphini",,,,2,"LM2","mand",2907,324.112915,131.944305,14.07823,18.20112,27.19392,61.186161,2.79132,22.96442,6.62957,11.08945,1.63991,9.14148,1.55722,15.11283,3.35155,5.38288,2.23555,1.01907,0.72241,5.5791,1.58046,1.63962,1.06345,2.18876,1.99566,2.97162,1.18136,0.16308,1.7841,1.10664,0.67342,2.02116,1.01182,0.58017,1.29616,1.25716,0.76135,0.74364,0.36211,0.38054,0.81328,0.19078,0.16728,0.18026,0.79607,0.33208,0.68049,0.23426,0.61567,0.23136,0.3649,0.28652,0.40154,0.37817,0.61767,0.28059,0.2774,0.1931,0.09372,0.12869
"Extant","Alcelaphini",,,,2,"LM2","mand",2912,304.05249,130.404602,38.343681,13.69042,30.35006,71.058029,2.01375,21.280239,4.59013,9.02774,2.35867,9.03714,2.61014,11.09358,2.93908,6.36462,1.66145,5.92892,1.32895,4.68941,0.2647,2.88464,1.12755,4.18493,0.66236,1.71264,1.88239,1.65715,0.47795,2.78473,0.18851,0.41561,0.81404,0.52695,0.39247,1.44003,0.64029,0.36309,0.63583,0.31569,0.42752,0.7058,0.10179,0.40576,0.6231,0.1869,0.01476,0.63156,0.1023,0.27359,0.66446,0.34966,0.25002,0.10897,0.24186,0.42825,0.27307,0.08732,0.26019,0.16956
